CategoryCode,ItemCode,DateID,DailySales
category_1,57983,5/11/2021,4
category_2,266135,5/12/2021,4
category_2,115043,7/30/2021,3
category_6,568793,11/4/2021,5
category_4,557711,4/6/2021,39
category_7,28445,3/1/2021,15
category_2,557405,3/2/2021,2
category_1,688361,10/9/2021,2
category_8,661787,11/4/2021,26
category_1,696443,5/11/2021,1
category_3,25229,5/10/2021,48
category_8,661787,3/31/2021,7
category_4,163709,3/1/2021,7
category_4,683195,5/12/2021,10
category_7,20093,7/3/2021,9
category_5,43487,3/1/2021,2
category_2,114677,12/6/2021,1
category_3,25229,11/4/2021,31
category_2,88007,7/3/2021,33
category_6,692825,3/1/2021,4
category_7,24443,11/2/2021,12
category_3,698075,12/6/2021,5
category_1,707747,11/30/2021,25
category_5,532943,7/3/2021,4
category_2,20573,10/9/2021,9
category_6,255389,7/3/2021,5
category_3,88211,5/10/2021,5
category_2,497285,11/2/2021,9
category_8,705371,11/30/2021,1
category_7,29627,11/4/2021,10
category_7,24443,4/5/2021,10
category_2,144089,7/11/2021,1
category_1,711401,8/19/2021,2
category_8,583109,5/12/2021,5
category_6,255311,5/11/2021,119
category_1,79691,5/19/2021,20
category_2,73535,11/4/2021,6
category_1,688343,5/11/2021,45
category_1,711401,5/19/2021,3
category_4,668759,10/29/2021,12
category_6,692825,11/29/2021,3
category_1,79691,3/30/2021,35
category_2,116279,7/3/2021,16
category_3,707075,3/2/2021,2
category_1,704297,10/9/2021,3
category_2,174911,11/2/2021,2
category_5,609011,11/4/2021,7
category_5,532943,12/6/2021,19
category_2,43847,3/30/2021,2
category_6,692825,7/30/2021,9
category_5,24527,10/2/2021,5
category_7,20093,11/29/2021,1
category_6,634043,11/30/2021,5
category_8,565025,8/19/2021,28
category_2,557405,3/1/2021,4
category_3,11279,10/9/2021,1
category_2,673367,11/2/2021,4
category_5,664721,10/9/2021,13
category_7,28445,4/6/2021,15
category_8,596207,11/30/2021,6
category_3,88211,5/11/2021,8
category_4,668759,3/2/2021,9
category_6,255257,12/6/2021,4
category_8,661787,3/2/2021,4
category_2,497285,5/11/2021,1
category_7,24443,3/31/2021,3
category_4,82193,10/2/2021,87
category_2,39821,7/3/2021,32
category_3,87977,5/12/2021,3
category_1,28271,10/2/2021,4
category_5,24527,7/3/2021,30
category_7,184589,5/10/2021,6
category_3,87977,3/31/2021,10
category_6,255353,5/19/2021,12
category_2,557423,12/6/2021,8
category_8,565025,5/10/2021,1
category_2,557405,7/30/2021,7
category_3,112991,11/30/2021,143
category_8,565025,5/19/2021,3
category_8,596207,10/9/2021,5
category_2,711383,5/19/2021,14
category_5,570311,11/29/2021,16
category_1,688379,5/10/2021,2
category_2,144089,10/29/2021,2
category_1,705797,10/2/2021,28
category_1,688379,4/5/2021,4
category_1,688379,11/30/2021,2
category_1,79691,7/30/2021,23
category_2,88007,5/19/2021,60
category_5,664721,7/3/2021,19
category_8,661781,11/30/2021,17
category_2,557405,5/10/2021,10
category_1,252821,10/29/2021,5
category_8,583109,11/29/2021,3
category_2,670715,3/1/2021,3
category_8,661787,10/29/2021,25
category_1,707549,3/1/2021,3
category_6,255311,10/29/2021,7
category_3,11279,10/29/2021,4
category_2,602639,11/2/2021,6
category_7,566891,7/30/2021,57
category_4,82193,3/2/2021,41
category_4,683195,11/4/2021,19
category_3,87977,12/6/2021,4
category_1,698633,3/30/2021,6
category_5,532943,7/30/2021,1
category_7,19949,7/30/2021,4
category_2,21485,10/29/2021,4
category_1,79691,11/29/2021,19
category_6,255293,3/30/2021,4
category_1,707549,5/19/2021,15
category_2,585071,3/1/2021,5
category_2,116279,10/9/2021,11
category_6,255269,7/30/2021,6
category_2,92483,3/30/2021,4
category_8,661787,8/19/2021,2
category_3,58955,4/6/2021,15
category_7,709751,3/31/2021,34
category_3,711035,5/19/2021,24
category_6,255281,10/9/2021,3
category_2,709637,5/11/2021,21
category_1,16079,3/1/2021,8
category_8,596207,8/19/2021,7
category_1,688343,5/19/2021,12
category_2,670715,11/2/2021,3
category_2,558617,4/6/2021,9
category_6,255293,4/6/2021,1
category_6,692843,8/19/2021,6
category_5,664721,3/30/2021,7
category_8,11675,10/9/2021,4
category_2,543389,7/3/2021,7
category_2,20573,10/2/2021,6
category_3,11279,4/6/2021,10
category_3,87977,5/11/2021,11
category_3,25229,4/6/2021,7
category_6,255257,5/12/2021,11
category_2,21485,11/4/2021,2
category_5,609011,7/3/2021,9
category_2,585071,10/9/2021,11
category_4,163709,3/30/2021,9
category_4,557711,8/19/2021,30
category_8,583109,10/9/2021,4
category_1,699839,11/2/2021,2
category_6,255269,3/2/2021,4
category_3,58955,12/6/2021,15
category_1,696443,5/12/2021,3
category_6,255353,3/2/2021,13
category_2,66041,10/2/2021,4
category_3,112991,5/12/2021,173
category_3,58955,10/9/2021,5
category_6,255335,12/6/2021,7
category_2,709637,12/6/2021,2
category_1,704297,3/30/2021,1
category_1,28319,7/30/2021,5
category_4,82193,10/9/2021,56
category_2,20573,3/1/2021,14
category_5,532943,3/30/2021,8
category_2,673367,7/3/2021,10
category_1,57983,11/30/2021,5
category_2,558617,11/30/2021,10
category_7,184589,7/11/2021,22
category_1,16079,5/11/2021,7
category_6,255335,4/6/2021,3
category_1,28319,7/11/2021,11
category_2,20573,8/19/2021,16
category_2,558617,7/11/2021,12
category_6,692843,7/3/2021,7
category_8,705365,7/3/2021,3
category_2,116279,4/5/2021,9
category_3,112991,5/10/2021,186
category_2,557405,5/11/2021,6
category_4,163709,4/6/2021,29
category_2,114677,4/5/2021,66
category_3,112991,3/30/2021,145
category_3,707075,10/9/2021,5
category_6,255335,8/19/2021,7
category_2,20573,12/6/2021,27
category_8,705365,10/29/2021,4
category_5,663143,5/19/2021,6
category_6,255371,11/29/2021,1
category_2,88007,7/30/2021,24
category_7,28445,10/2/2021,24
category_5,43487,10/9/2021,34
category_4,683195,3/31/2021,9
category_3,25229,4/5/2021,13
category_3,698075,8/19/2021,9
category_2,78677,7/30/2021,20
category_6,255389,3/30/2021,7
category_2,33845,10/2/2021,4
category_2,577277,5/10/2021,5
category_3,707075,5/19/2021,7
category_2,673367,10/9/2021,1
category_6,255377,3/1/2021,3
category_2,711371,7/3/2021,4
category_8,15845,5/10/2021,44
category_5,663143,3/2/2021,4
category_6,634043,7/3/2021,3
category_8,565025,7/3/2021,3
category_2,543389,8/19/2021,11
category_8,705365,10/2/2021,1
category_1,79691,4/6/2021,16
category_8,661787,4/6/2021,9
category_5,663143,10/9/2021,3
category_2,13871,10/2/2021,20
category_2,497285,7/3/2021,1
category_5,608483,10/29/2021,16
category_2,557423,11/2/2021,2
category_5,24527,4/5/2021,27
category_2,27161,8/19/2021,22
category_7,19949,11/2/2021,7
category_6,255353,12/6/2021,4
category_2,13871,3/31/2021,15
category_8,11675,10/29/2021,16
category_6,568793,5/19/2021,10
category_7,566891,4/6/2021,14
category_2,115043,10/2/2021,1
category_2,39821,5/10/2021,14
category_2,66041,7/3/2021,12
category_1,688349,10/29/2021,5
category_3,11279,10/2/2021,1
category_7,19949,7/3/2021,1
category_6,255293,3/2/2021,5
category_8,596207,10/29/2021,6
category_4,82193,7/11/2021,37
category_2,696323,3/2/2021,2
category_2,20573,10/29/2021,9
category_6,255299,3/1/2021,6
category_6,255329,3/30/2021,14
category_6,692861,11/30/2021,5
category_1,79691,11/2/2021,25
category_3,88211,5/19/2021,16
category_6,255353,10/29/2021,5
category_4,668759,4/5/2021,9
category_1,28319,5/12/2021,4
category_1,97307,10/2/2021,3
category_2,670715,7/3/2021,8
category_5,570311,7/30/2021,17
category_4,557711,4/5/2021,30
category_5,608483,8/19/2021,50
category_2,58361,5/10/2021,5
category_5,608483,5/11/2021,12
category_5,570311,11/30/2021,1
category_7,709751,12/6/2021,3
category_8,15845,5/12/2021,50
category_1,11519,10/29/2021,92
category_6,255329,5/11/2021,118
category_8,705365,4/5/2021,4
category_5,663143,10/29/2021,8
category_1,97307,7/11/2021,6
category_2,92483,5/19/2021,11
category_2,43847,3/2/2021,1
category_1,25667,3/1/2021,5
category_5,532943,10/2/2021,2
category_2,73535,10/9/2021,10
category_6,255353,5/11/2021,7
category_6,692825,4/5/2021,3
category_2,78677,11/2/2021,2
category_2,88007,3/31/2021,27
category_7,184589,10/2/2021,11
category_2,29075,11/29/2021,4
category_8,650207,4/5/2021,3
category_5,24527,3/1/2021,53
category_5,608483,3/31/2021,3
category_1,688349,3/30/2021,15
category_3,698075,11/2/2021,10
category_7,19949,3/30/2021,14
category_3,698075,7/30/2021,5
category_2,13871,7/30/2021,18
category_2,558617,4/5/2021,13
category_5,532943,7/11/2021,8
category_3,112991,11/2/2021,85
category_6,255389,7/11/2021,5
category_1,24587,11/29/2021,4
category_8,15845,10/2/2021,1
category_5,570311,11/4/2021,6
category_6,255353,11/30/2021,4
category_7,566891,5/11/2021,11
category_1,11519,3/30/2021,103
category_3,707075,7/3/2021,13
category_5,570311,10/2/2021,18
category_2,33845,11/29/2021,2
category_5,24527,12/6/2021,36
category_7,29627,3/2/2021,13
category_8,565025,11/29/2021,23
category_1,24587,3/31/2021,6
category_4,668759,11/29/2021,7
category_8,565025,4/5/2021,3
category_3,87977,3/2/2021,6
category_4,557711,3/2/2021,65
category_6,255281,7/30/2021,7
category_2,26279,7/30/2021,4
category_1,707747,7/30/2021,3
category_1,707747,3/2/2021,27
category_1,11519,4/6/2021,176
category_2,39821,7/11/2021,5
category_1,704297,7/11/2021,3
category_5,663143,5/12/2021,18
category_3,711035,3/30/2021,1
category_1,97307,3/31/2021,4
category_3,58955,3/1/2021,20
category_1,707549,7/30/2021,25
category_2,88007,12/6/2021,14
category_7,709751,11/2/2021,2
category_6,634043,5/12/2021,8
category_3,88211,3/31/2021,2
category_1,57983,12/6/2021,3
category_6,255329,11/29/2021,19
category_8,705371,3/1/2021,1
category_2,114677,11/2/2021,22
category_7,28445,7/11/2021,9
category_5,608483,3/2/2021,3
category_1,24587,12/6/2021,6
category_1,711401,5/12/2021,13
category_6,255269,3/30/2021,2
category_5,608483,7/30/2021,10
category_3,711035,5/11/2021,15
category_6,255257,10/2/2021,7
category_2,585071,5/11/2021,7
category_1,11519,12/6/2021,51
category_3,707075,10/29/2021,6
category_5,43487,5/19/2021,105
category_2,602639,3/31/2021,7
category_2,26279,10/29/2021,3
category_6,255317,10/2/2021,4
category_7,20093,7/11/2021,8
category_2,39821,11/29/2021,6
category_1,704297,11/30/2021,21
category_6,692843,4/5/2021,1
category_3,711035,11/2/2021,6
category_2,39821,10/9/2021,6
category_6,255353,5/10/2021,6
category_2,88007,3/2/2021,28
category_7,184589,12/6/2021,2
category_1,24587,11/2/2021,14
category_3,58955,5/12/2021,33
category_7,566891,12/6/2021,79
category_2,696323,3/31/2021,6
category_1,703307,5/19/2021,1
category_2,709637,5/12/2021,36
category_8,565025,12/6/2021,10
category_2,557423,11/30/2021,5
category_2,13871,10/29/2021,23
category_1,707747,11/29/2021,9
category_5,532943,4/5/2021,6
category_6,568793,3/31/2021,5
category_7,566891,4/5/2021,9
category_8,650207,10/9/2021,3
category_4,557711,11/2/2021,13
category_5,664721,10/29/2021,32
category_1,688379,10/9/2021,4
category_3,707075,10/2/2021,11
category_6,255377,5/10/2021,105
category_6,255371,11/4/2021,4
category_2,114677,11/4/2021,17
category_1,688361,5/10/2021,3
category_5,608483,5/10/2021,7
category_6,255389,8/19/2021,3
category_5,43487,7/30/2021,26
category_6,255281,5/19/2021,12
category_5,24527,3/31/2021,48
category_7,20093,11/4/2021,10
category_8,705371,11/2/2021,3
category_1,11519,11/30/2021,34
category_2,577277,10/9/2021,21
category_6,255335,7/30/2021,4
category_2,497285,3/31/2021,4
category_2,144089,11/29/2021,2
category_2,711383,7/3/2021,20
category_2,114677,3/31/2021,6
category_6,692861,8/19/2021,14
category_1,688343,8/19/2021,10
category_6,255329,10/29/2021,6
category_5,663143,7/30/2021,8
category_6,255371,10/9/2021,2
category_6,255371,5/11/2021,4
category_5,663143,5/10/2021,10
category_6,255257,11/2/2021,6
category_1,696443,10/2/2021,6
category_6,255353,7/30/2021,4
category_4,163709,7/11/2021,8
category_5,24527,5/11/2021,63
category_7,20093,3/31/2021,36
category_2,585071,11/2/2021,3
category_7,709751,11/29/2021,5
category_8,705371,5/11/2021,14
category_5,664721,3/1/2021,17
category_6,255317,7/30/2021,5
category_2,577277,5/12/2021,12
category_1,79691,11/4/2021,22
category_7,29627,5/19/2021,6
category_7,105545,7/3/2021,4
category_2,711371,11/4/2021,3
category_2,144089,5/10/2021,5
category_3,25229,5/11/2021,40
category_2,577277,11/29/2021,2
category_8,661787,11/29/2021,5
category_1,699839,12/6/2021,4
category_7,184589,8/19/2021,9
category_2,543389,11/2/2021,2
category_7,566891,11/2/2021,65
category_5,570311,3/31/2021,3
category_8,596207,4/6/2021,27
category_2,266135,11/30/2021,6
category_3,698075,3/1/2021,10
category_5,609011,11/29/2021,5
category_1,705797,3/30/2021,4
category_2,711371,3/30/2021,4
category_6,255257,11/4/2021,7
category_1,707747,4/6/2021,10
category_8,661787,5/19/2021,6
category_8,11675,5/10/2021,12
category_1,688379,12/6/2021,2
category_3,11279,12/6/2021,1
category_1,16079,11/4/2021,1
category_8,15845,5/11/2021,43
category_2,20573,4/5/2021,3
category_5,43487,10/2/2021,46
category_3,698075,5/12/2021,14
category_1,28271,12/6/2021,7
category_1,503711,5/12/2021,12
category_2,585071,11/29/2021,6
category_1,28271,5/12/2021,6
category_3,87977,11/30/2021,3
category_2,558617,3/2/2021,10
category_3,25229,11/29/2021,9
category_2,115043,5/19/2021,6
category_2,20573,7/11/2021,8
category_5,43487,12/6/2021,5
category_1,711401,3/2/2021,5
category_2,15701,3/1/2021,9
category_2,673367,12/6/2021,20
category_2,20573,3/2/2021,17
category_2,27161,10/2/2021,14
category_1,704297,4/5/2021,11
category_2,13871,3/2/2021,32
category_2,39821,11/2/2021,4
category_8,661781,11/2/2021,4
category_5,609011,5/12/2021,27
category_4,668759,11/30/2021,11
category_1,688349,10/9/2021,11
category_7,29627,5/11/2021,7
category_6,692843,4/6/2021,3
category_1,696443,3/31/2021,2
category_1,25667,10/2/2021,5
category_6,692861,5/11/2021,8
category_2,29075,5/12/2021,6
category_5,532943,10/29/2021,5
category_2,558617,8/19/2021,37
category_2,557423,10/29/2021,4
category_2,696323,3/30/2021,2
category_2,266135,11/29/2021,3
category_7,709751,11/4/2021,2
category_6,255389,11/2/2021,8
category_6,692831,4/5/2021,6
category_1,688379,7/3/2021,2
category_2,88007,5/11/2021,17
category_2,29075,11/4/2021,5
category_1,707549,3/30/2021,50
category_3,25229,3/2/2021,44
category_7,29627,4/6/2021,15
category_3,87977,5/19/2021,7
category_6,255377,7/11/2021,3
category_8,650207,3/2/2021,3
category_2,144089,10/2/2021,5
category_6,568793,7/30/2021,1
category_3,58955,3/30/2021,13
category_2,20573,11/29/2021,13
category_2,602639,7/30/2021,6
category_3,88211,8/19/2021,4
category_8,661787,12/6/2021,9
category_8,705365,5/19/2021,7
category_2,66041,11/29/2021,6
category_2,711371,5/10/2021,7
category_2,711383,10/29/2021,33
category_2,557423,7/3/2021,5
category_1,11519,7/11/2021,32
category_6,255389,5/11/2021,6
category_2,43847,5/11/2021,3
category_1,699839,10/9/2021,5
category_6,255377,10/2/2021,3
category_6,255335,11/4/2021,3
category_7,29627,8/19/2021,6
category_7,105545,5/10/2021,7
category_6,255257,4/6/2021,4
category_6,692843,5/11/2021,6
category_1,28271,5/10/2021,14
category_1,503711,11/30/2021,5
category_3,88211,10/9/2021,3
category_7,709751,3/30/2021,7
category_2,709637,3/30/2021,27
category_6,692825,12/6/2021,3
category_2,709637,10/9/2021,5
category_3,698075,11/30/2021,6
category_1,707747,3/1/2021,19
category_7,24443,3/2/2021,25
category_5,570311,10/29/2021,9
category_2,709637,3/2/2021,5
category_8,11675,3/30/2021,1
category_1,688361,10/2/2021,4
category_3,112991,4/5/2021,156
category_6,255335,5/12/2021,11
category_2,711383,11/30/2021,17
category_2,711371,10/9/2021,16
category_1,24587,5/11/2021,14
category_2,497285,5/10/2021,2
category_1,703307,11/29/2021,6
category_1,503711,11/2/2021,6
category_7,709751,8/19/2021,7
category_6,255317,12/6/2021,4
category_2,78677,3/1/2021,15
category_1,24587,7/30/2021,2
category_1,57983,7/3/2021,4
category_2,144089,3/31/2021,4
category_3,698075,5/19/2021,24
category_1,28271,11/4/2021,4
category_8,661781,7/3/2021,12
category_2,116279,3/2/2021,8
category_3,707075,11/2/2021,3
category_8,565025,7/11/2021,1
category_8,705365,7/11/2021,3
category_6,692831,5/11/2021,5
category_8,11675,3/31/2021,3
category_4,82193,4/5/2021,75
category_2,115043,11/4/2021,4
category_3,112991,3/2/2021,103
category_4,668759,7/11/2021,5
category_6,255293,5/19/2021,14
category_1,252821,10/2/2021,4
category_1,252821,11/2/2021,7
category_2,78677,3/30/2021,3
category_5,663143,3/30/2021,1
category_7,24443,7/3/2021,8
category_6,255257,5/19/2021,19
category_2,33845,5/12/2021,9
category_1,699839,3/1/2021,7
category_5,532943,4/6/2021,10
category_2,116279,8/19/2021,25
category_1,711401,10/9/2021,1
category_1,707549,11/29/2021,3
category_2,27161,5/11/2021,6
category_1,24587,10/29/2021,12
category_8,705371,3/30/2021,3
category_2,114677,5/12/2021,1
category_2,21485,3/2/2021,11
category_7,29627,4/5/2021,25
category_1,705797,11/2/2021,2
category_1,704297,4/6/2021,3
category_8,15845,11/4/2021,2
category_4,557711,5/10/2021,13
category_6,255257,7/30/2021,15
category_3,711035,5/10/2021,6
category_3,25229,3/30/2021,15
category_8,596207,3/30/2021,5
category_1,688349,11/4/2021,5
category_5,532943,5/19/2021,20
category_6,255257,10/29/2021,5
category_2,92483,11/29/2021,6
category_5,570311,10/9/2021,6
category_8,705371,5/19/2021,11
category_2,116279,12/6/2021,3
category_8,11675,7/11/2021,1
category_2,21485,12/6/2021,3
category_2,73535,11/30/2021,5
category_2,29075,10/9/2021,3
category_1,252821,7/3/2021,10
category_1,252821,11/4/2021,4
category_1,688361,3/30/2021,1
category_2,26279,3/31/2021,7
category_2,557423,5/12/2021,3
category_7,29627,5/12/2021,11
category_6,692825,5/11/2021,4
category_7,29627,10/2/2021,17
category_5,609011,5/10/2021,27
category_6,255329,5/19/2021,367
category_1,16079,8/19/2021,4
category_2,92483,4/5/2021,5
category_2,20573,7/3/2021,15
category_6,255335,11/2/2021,4
category_6,255389,12/6/2021,8
category_6,255311,3/31/2021,14
category_6,255353,11/2/2021,6
category_8,596207,5/12/2021,4
category_1,698633,12/6/2021,23
category_2,543389,5/19/2021,14
category_5,608483,4/5/2021,3
category_2,73535,3/31/2021,11
category_8,705365,5/10/2021,3
category_1,698633,10/29/2021,15
category_2,58361,11/29/2021,3
category_1,57983,11/29/2021,9
category_3,11279,11/30/2021,3
category_3,88211,3/30/2021,2
category_5,664721,5/10/2021,24
category_4,163709,10/29/2021,23
category_1,698633,5/19/2021,10
category_7,24443,8/19/2021,4
category_8,705365,11/29/2021,2
category_7,709751,10/9/2021,8
category_3,11279,11/2/2021,10
category_2,543389,10/29/2021,4
category_2,266135,3/30/2021,4
category_2,26279,10/9/2021,41
category_7,566891,11/29/2021,62
category_6,692831,7/11/2021,13
category_2,114677,3/1/2021,2
category_7,28445,5/12/2021,8
category_6,255317,4/6/2021,4
category_7,105545,11/2/2021,5
category_2,696323,11/30/2021,1
category_2,174911,3/30/2021,3
category_6,255389,10/29/2021,4
category_4,683195,7/3/2021,12
category_5,43487,5/12/2021,73
category_2,585071,7/3/2021,9
category_6,634043,11/2/2021,2
category_7,20093,3/1/2021,28
category_5,664721,8/19/2021,7
category_8,661781,5/12/2021,15
category_2,577277,7/11/2021,4
category_1,24587,4/6/2021,12
category_1,28319,5/19/2021,6
category_6,255311,10/2/2021,5
category_2,78677,5/12/2021,4
category_2,116279,5/12/2021,12
category_7,29627,11/2/2021,16
category_2,27161,11/2/2021,11
category_4,557711,3/1/2021,6
category_6,255335,3/31/2021,3
category_7,566891,7/3/2021,12
category_1,16079,3/30/2021,2
category_2,58361,7/3/2021,1
category_1,25667,5/12/2021,3
category_1,11519,5/10/2021,26
category_1,688343,3/31/2021,67
category_2,29075,10/29/2021,5
category_2,15701,5/10/2021,6
category_1,707549,3/2/2021,6
category_2,577277,10/2/2021,6
category_3,25229,3/1/2021,72
category_6,692825,3/31/2021,2
category_6,255257,3/31/2021,4
category_7,24443,5/12/2021,13
category_1,28319,12/6/2021,10
category_7,566891,5/12/2021,2
category_8,583109,11/30/2021,1
category_7,105545,3/30/2021,157
category_2,711383,5/12/2021,23
category_1,698633,3/31/2021,18
category_3,707075,3/30/2021,7
category_2,709637,11/4/2021,6
category_6,692861,5/10/2021,11
category_2,696323,5/12/2021,2
category_5,609011,10/29/2021,8
category_2,33845,4/5/2021,4
category_2,174911,3/2/2021,1
category_1,24587,10/2/2021,6
category_4,82193,3/1/2021,73
category_1,688343,12/6/2021,14
category_2,116279,3/30/2021,14
category_1,503711,10/2/2021,3
category_6,255377,5/12/2021,108
category_1,28271,10/29/2021,3
category_2,20573,3/30/2021,7
category_5,663143,4/5/2021,3
category_1,688379,3/2/2021,3
category_1,705797,11/29/2021,3
category_2,92483,7/30/2021,1
category_1,252821,5/11/2021,9
category_2,711371,10/2/2021,4
category_1,688379,5/11/2021,3
category_6,692861,7/11/2021,1
category_5,24527,10/9/2021,36
category_7,29627,7/11/2021,19
category_6,255281,12/6/2021,4
category_2,711383,10/2/2021,42
category_2,39821,3/30/2021,9
category_5,570311,4/5/2021,9
category_2,144089,5/12/2021,11
category_7,28445,10/9/2021,14
category_6,255389,5/12/2021,17
category_1,703307,4/5/2021,11
category_1,707549,5/10/2021,10
category_8,15845,11/30/2021,4
category_1,16079,5/19/2021,6
category_3,87977,8/19/2021,3
category_2,558617,10/2/2021,20
category_6,255269,8/19/2021,10
category_6,255371,8/19/2021,4
category_2,43847,5/19/2021,2
category_2,21485,3/31/2021,7
category_1,79691,4/5/2021,15
category_6,255317,11/4/2021,6
category_6,692843,5/10/2021,4
category_6,255335,5/19/2021,16
category_1,705797,7/30/2021,4
category_3,88211,10/2/2021,7
category_1,25667,3/2/2021,4
category_5,664721,3/2/2021,15
category_8,596207,12/6/2021,7
category_6,255335,5/11/2021,6
category_2,711371,7/11/2021,3
category_2,33845,3/2/2021,8
category_2,602639,5/10/2021,4
category_6,692861,10/9/2021,4
category_8,661787,5/11/2021,9
category_6,692831,10/29/2021,6
category_1,703307,7/30/2021,6
category_3,25229,7/11/2021,11
category_3,112991,11/29/2021,72
category_4,683195,5/19/2021,11
category_2,27161,3/2/2021,25
category_2,78677,3/31/2021,1
category_2,43847,7/11/2021,3
category_6,692825,5/19/2021,13
category_6,255317,5/11/2021,4
category_2,585071,7/11/2021,3
category_6,255377,8/19/2021,4
category_7,28445,4/5/2021,48
category_1,57983,5/10/2021,6
category_2,543389,3/2/2021,6
category_2,670715,7/30/2021,5
category_6,255257,3/30/2021,4
category_4,557711,7/11/2021,9
category_6,692825,3/2/2021,3
category_2,58361,4/6/2021,2
category_6,692825,3/30/2021,7
category_2,673367,8/19/2021,5
category_1,711401,3/30/2021,8
category_2,543389,10/2/2021,5
category_1,57983,3/1/2021,6
category_2,709637,10/29/2021,5
category_1,28271,11/30/2021,4
category_2,21485,4/6/2021,4
category_6,255275,5/19/2021,4
category_2,26279,3/2/2021,4
category_1,24587,5/19/2021,2
category_3,707075,11/29/2021,6
category_1,11519,10/9/2021,81
category_3,698075,3/30/2021,7
category_5,24527,11/2/2021,70
category_1,711401,3/31/2021,10
category_1,699839,5/11/2021,4
category_2,144089,7/3/2021,2
category_3,698075,4/5/2021,6
category_2,558617,5/12/2021,32
category_1,698633,5/11/2021,32
category_8,661787,4/5/2021,15
category_2,15701,7/11/2021,4
